"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "HTML", "JSON", "Prisma", "Properties", "SQL", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\page\styles.ts", "TypeScript", -318, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -10, -336
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -311, 0, 0, 0, -1, -312
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\styles.ts", "TypeScript", -232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -247
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\store\register\useRegister.ts", "TypeScript", -225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -231
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, 0, -4, -78
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\login\styles.ts", "TypeScript", -96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -110
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\register\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -101, 0, 0, 0, -3, -104
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\register\styles.ts", "TypeScript", -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, -114
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\settings\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -106, 0, 0, 0, -4, -110
"c:\Users\pottassiu\Documents\Weeat\Client\src\pages\user\settings\styles.ts", "TypeScript", -47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7, -56
"c:\Users\pottassiu\Documents\Weeat\Client\src\router.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -60, 0, 0, 0, -3, -63
"c:\Users\pottassiu\Documents\Weeat\Client\src\styles\mixins.ts", "TypeScript", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\pottassiu\Documents\Weeat\Client\src\styles\theme.ts", "TypeScript", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -28
"c:\Users\pottassiu\Documents\Weeat\Client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"c:\Users\pottassiu\Documents\Weeat\Client\tsconfig.json", "JSON with Comments", 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -26
"c:\Users\pottassiu\Documents\Weeat\Client\tsconfig.node.json", "JSON", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -12
"c:\Users\pottassiu\Documents\Weeat\Client\vite.config.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -8
"c:\Users\pottassiu\Documents\Weeat\Server\.env", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\pottassiu\Documents\Weeat\Server\dist\@types\user.d.cjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\favoriteController.cjs", "JavaScript", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 145
"c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\planController.cjs", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 105
"c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\productController.cjs", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 124
"c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\storeController.cjs", "JavaScript", 0, 0, 28040, 0, 0, 0, 0, 0, 0, 0, 0, 1724, 249, 30013
"c:\Users\pottassiu\Documents\Weeat\Server\dist\controllers\userController.cjs", "JavaScript", 0, 0, 27966, 0, 0, 0, 0, 0, 0, 0, 0, 1724, 249, 29939
"c:\Users\pottassiu\Documents\Weeat\Server\dist\index-K4K5CPUZ.html", "HTML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\pottassiu\Documents\Weeat\Server\dist\middlewares\auth.cjs", "JavaScript", 0, 0, 27897, 0, 0, 0, 0, 0, 0, 0, 0, 1724, 248, 29869
"c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\favoriteRoutes.cjs", "JavaScript", 0, 0, 28009, 0, 0, 0, 0, 0, 0, 0, 0, 1726, 251, 29986
"c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\planRoutes.cjs", "JavaScript", 0, 0, 27950, 0, 0, 0, 0, 0, 0, 0, 0, 1726, 251, 29927
"c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\productRoutes.cjs", "JavaScript", 0, 0, 27981, 0, 0, 0, 0, 0, 0, 0, 0, 1726, 251, 29958
"c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\storesRoutes.cjs", "JavaScript", 0, 0, 28075, 0, 0, 0, 0, 0, 0, 0, 0, 1726, 251, 30052
"c:\Users\pottassiu\Documents\Weeat\Server\dist\routes\usersRoutes.cjs", "JavaScript", 0, 0, 27998, 0, 0, 0, 0, 0, 0, 0, 0, 1726, 251, 29975
"c:\Users\pottassiu\Documents\Weeat\Server\dist\server.cjs", "JavaScript", 0, 0, 28517, 0, 0, 0, 0, 0, 0, 0, 0, 1744, 269, 30530
"c:\Users\pottassiu\Documents\Weeat\Server\dist\services\authService.cjs", "JavaScript", 0, 0, 38684, 0, 0, 0, 0, 0, 0, 0, 0, 1726, 246, 40656
"c:\Users\pottassiu\Documents\Weeat\Server\dist\services\favoriteService.cjs", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 78
"c:\Users\pottassiu\Documents\Weeat\Server\dist\services\planService.cjs", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 61
"c:\Users\pottassiu\Documents\Weeat\Server\dist\services\productService.cjs", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 65
"c:\Users\pottassiu\Documents\Weeat\Server\dist\services\storeService.cjs", "JavaScript", 0, 0, 26071, 0, 0, 0, 0, 0, 0, 0, 0, 1692, 217, 27980
"c:\Users\pottassiu\Documents\Weeat\Server\dist\services\userService.cjs", "JavaScript", 0, 0, 26031, 0, 0, 0, 0, 0, 0, 0, 0, 1692, 217, 27940
"c:\Users\pottassiu\Documents\Weeat\Server\package-lock.json", "JSON", 0, 0, 0, 0, 6527, 0, 0, 0, 0, 0, 0, 0, 1, 6528
"c:\Users\pottassiu\Documents\Weeat\Server\package.json", "JSON", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240525194724_init\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 10, 65
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530021539_aws_migration\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 44, 24, 112
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530024253_taxpayer_capital_letter\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 11, 2, 17
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530024831_email_constraint\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 8, 2, 12
"c:\Users\pottassiu\Documents\Weeat\Server\prisma\migrations\20240530232521_store_address_update\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 18, 7, 36
